File Path,Collaboration,Communication,Creativity,Customer Service,Education Level,Entertainment,Finance,Government,Healthcare,Job Title,Law,Leadership,Manufacturing,Organization/Planning,Other,Problem-Solving,Service Industry,Sports,Technology,Time Management
https://crowdhire.s3.amazonaws.com/r1.pdf,True,False,False,False,high school,0,2,0,0,"Head TA, Philadelphia, PA",0,True,0,False,0,False,0,0,0,False
https://crowdhire.s3.amazonaws.com/r2.pdf,True,False,False,False,high school,0,0,0,0,"ENGINEERING INTERN, THE FACTUAL",0,False,0,False,0,True,0,0,0,False
https://crowdhire.s3.amazonaws.com/r3.pdf,True,False,False,False,bachelors,0,0,0,0,"Summer Associate, Digital Team | Remote",0,False,0,False,0,True,0,0,1,False
https://crowdhire.s3.amazonaws.com/r4.pdf,True,True,False,False,high school,0,0,0,0,Software Engineer Intern,0,False,0,True,1,False,0,0,2,False
https://crowdhire.s3.amazonaws.com/r5.pdf,False,False,False,False,high school,0,0,0,0,Private Equity Summer Analyst,0,True,0,True,0,False,0,0,1,False
https://crowdhire.s3.amazonaws.com/r6.pdf,True,False,True,False,high school,0,0,0,0,Summer Engineering Analyst,0,True,0,True,0,True,0,0,0,False
https://resumes213.s3.amazonaws.com/resume1.pdf,True,True,False,False,masters,0,3,0,0,Private Equity Associate – Enterprise Software and Technology-Enabled Services,0,True,0,False,0,True,0,0,0,False
https://resumes213.s3.amazonaws.com/resume10.pdf,True,False,False,False,high school,0,0,0,1,Accelerator Challenge Technical Analyst,0,True,0,False,0,False,0,0,0,False
https://resumes213.s3.amazonaws.com/resume11.pdf,True,False,False,False,bachelors,0,0,0,0,RESEARCH INTERN,0,False,0,False,0,True,0,0,0,False
https://resumes213.s3.amazonaws.com/resume12.pdf,True,False,False,False,Advanced,0,0,0,0,Associate Professor,0,False,0,False,>5,True,0,0,>5,False
https://resumes213.s3.amazonaws.com/resume2.pdf,True,True,False,False,bachelors,0,0,0,0,Consulting Intern,0,True,0,False,0,False,0,1,0,False
https://resumes213.s3.amazonaws.com/resume3.pdf,True,False,False,True,associate,0,1,0,0,Sports Agency Intern,0,True,0,False,0,False,0,1,0,False
https://resumes213.s3.amazonaws.com/resume4.pdf,True,True,False,False,high school,0,1,0,0,Business Development Intern (Paid),0,True,0,True,0,False,0,1,0,False
https://resumes213.s3.amazonaws.com/resume5.pdf,True,False,False,False,bachelors,0,0,0,0,League Economics and Operations Intern,0,True,0,True,0,False,0,0,0,False
https://resumes213.s3.amazonaws.com/resume6.pdf,True,False,False,False,masters,0,0,0,0,Chartering and Agency Intern,0,True,0,True,0,False,0,0,0,False
https://resumes213.s3.amazonaws.com/resume7.pdf,True,False,True,False,high school,0,1,0,0,"Internship, Finance Leadership & Development Team",0,False,0,False,0,True,0,0,0,False
https://resumes213.s3.amazonaws.com/resume8.pdf,False,False,False,False,bachelors,0,1,0,0,Intern for boutique investment bank,0,False,0,True,0,False,0,1,0,False
https://resumes213.s3.amazonaws.com/resume9.pdf,True,True,False,False,high school,0,0,0,0,Summer Institutional Relations Analyst,0,False,0,False,0,False,0,0,0,False
